#ATUALIZACAO: 16 Setembro 2026,,,,,,
#JANELA_APLICADA: -7 dias até +185 dias (09/09/2026 a 20/03/2027),,,,,,
,,,,,,
Feira de São Mateus<br>Viseu,6,8,2026,21,9,2026
GSE EXPO - Aviation Support<br>FIL - Lisboa,15,9,2026,17,9,2026
Sigur Rós<br>Campo Pequeno - Lisboa,17,9,2026,,,
Marisa Monte<br>MEO Arena - Lisboa,18,9,2026,,,
Marisa Monte<br>Super Bock Arena - Porto,20,9,2026,,,
Cerimónia da Bola de Ouro 2026<br>Paris - Transmissão,21,9,2026,,,
Início do Outono 18:44<br>Portugal,22,9,2026,,,
Leadership Summit Portugal<br>Casino Estoril,24,9,2026,,,
Portugal Football Summit 2026<br>Cidade do Futebol - Oeiras,26,9,2026,,,
SBC Summit<br>FIL - Lisboa,29,9,2026,1,10,2026
Pagamento AIMI<br>Autoridade Tributária,30,9,2026,,,
Rádio Macau<br>Coliseu dos Recreios - Lisboa,30,9,2026,,,
,,,,,,
Transvision Vamp<br>Hard Club - Porto,1,10,2026,,,
Rádio Macau<br>Coliseu dos Recreios - Lisboa,2,10,2026,,,
STE 2026 - Science Tech Education<br>FEUP - Porto,1,10,2026,2,10,2026
Simone Mendes – Tour Portugal 2026<br>Super Bock Arena - Porto,3,10,2026,,,
Evanescence 21:00<br>MEO Arena - Lisboa,4,10,2026,,,
PLASTICS SUMMIT – GLOBAL EVENT<br>FIL - Lisboa,6,10,2026,,,
DIRE STRAITS LEGACY | Europa Tour 2026<br>Campo Pequeno - Lisboa,10,10,2026,,,
Alphaville<br>Campo Pequeno - Lisboa,16,10,2026,,,
Rui Veloso Trio<br>Campo Pequeno - Lisboa,17,10,2026,,,
Aniversário Jorge Guimarães<br>Portugal,18,10,2026,,,
Segurex<br>FIL - Lisboa,20,10,2026,22,10,2026
Fontaines D.C.<br>MEO Arena - Lisboa,21,10,2026,,,
Titãs<br>Campo Pequeno - Lisboa,24,10,2026,,,
Mudança para Hora de Inverno 02:00<br>Portugal,25,10,2026,,,
Anastacia NTK Tour<br>Campo Pequeno - Lisboa,27,10,2026,,,
Fleet Europe Days<br>FIL - Lisboa,27,10,2026,28,10,2026
LOGIPACK<br>FIL - Lisboa,27,10,2026,29,10,2026
MEO COMMEDIA À LA CARTE FEST'26 - REBENTA A BOLHA<br>Campo Pequeno - Lisboa,30,10,2026,,,
Moonspell<br>Hard Club - Porto,31,10,2026,,,
MEO COMMEDIA À LA CARTE FEST'26 - TRIBUTO POP - CAROLINA DESLANDES TATANKA BÁRBARA TINOCO<br>Campo Pequeno - Lisboa,31,10,2026,,,
,,,,,,
Carmen de Bizet<br>Centro Cultural de Belém - Lisboa,1,11,2026,,,
Duran Duran<br>MEO Arena - Lisboa,3,11,2026,,,
Fingertips<br>Super Bock Arena - Porto,6,11,2026,,,
Feira Nacional do Cavalo<br>Golegã,6,11,2026,15,11,2026
Aniversário Arquivo.pt<br>Portugal,7,11,2026,,,
Canta-me uma História – ao vivo<br>Super Bock Arena - Porto,7,11,2026,,,
Web Summit<br>FIL - Lisboa,9,11,2026,12,11,2026
The Last Internationale<br>LAV - Lisboa,10,11,2026,,,
Arlo Parks<br>LAV - Lisboa,11,11,2026,,,
Feira de Chocolate<br>Grândola,13,11,2026,15,11,2026
Tony Carreira<br>Super Bock Arena - Porto,14,11,2026,,,
Bryan Adams<br>Super Bock Arena - Porto,17,11,2026,,,
Bryan Adams<br>Super Bock Arena - Porto,18,11,2026,,,
Lisboa Games Week<br>FIL - Lisboa,19,11,2026,22,11,2026
David Fonseca<br>Super Bock Arena - Porto,21,11,2026,,,
Dia Nacional da Cultura Científica<br>Ensino Superior,24,11,2026,,,
,,,,,,
Dia Mundial da Preservação Digital<br>Iniciativa internacional do DPC,4,12,2026,,,
Sara Correia 21:30<br>Super Bock Arena - Porto,7,12,2026,,,
Aniversário BAD<br>Portugal,8,12,2026,,,
Sara Correia 18:00<br>Super Bock Arena - Porto,8,12,2026,,,
João Só e Tiago Nogueira<br>Coliseu dos Recreios - Lisboa,11,12,2026,,,
Richie Campbell<br>MEO Arena - Lisboa,12,12,2026,,,
Macy Gray<br>Grande Auditório - Braga,19,12,2026,,,
Macy Gray<br>Aula Magna - Lisboa,20,12,2026,,,
,,,,,,
,,,,,,
Carnaval - Terça-feira de Entrudo<br>Portugal,9,2,2027,,,
Festa do Chocolate<br>Matosinhos,6,2,2027,21,2,2027
Feira do Chocolate<br>Loulé,12,2,2027,21,2,2027
,,,,,,
Início da Primavera 20:24<br>Portugal,20,3,2027,,,
